"","Week","Year","IT_movies"
"319",7,2010,0
"320",8,2010,0
"321",9,2010,0
"322",10,2010,0
"323",11,2010,0
"324",12,2010,0
"325",13,2010,0
"326",14,2010,0
"327",15,2010,0
"328",16,2010,0
"329",17,2010,0
"330",18,2010,0
"331",19,2010,0
"332",20,2010,0
"333",21,2010,0
"334",22,2010,0
"335",23,2010,0
"336",24,2010,0
"337",25,2010,0
"338",26,2010,0
"339",27,2010,0
"340",28,2010,0
"341",29,2010,0
"342",30,2010,0
"343",31,2010,0
"344",32,2010,0
"345",33,2010,0
"346",34,2010,0
"347",35,2010,0
"348",36,2010,0
"349",37,2010,0
"350",38,2010,0
"351",39,2010,0
"352",40,2010,0
"353",41,2010,0
"354",42,2010,0
"355",43,2010,0
"356",44,2010,0
"357",45,2010,0
"358",46,2010,0
"359",47,2010,0
"360",48,2010,0
"361",49,2010,0
"362",50,2010,0
"363",51,2010,0
"364",52,2010,0
"365",1,2011,0
"366",2,2011,0
"367",3,2011,0
"368",4,2011,0
"369",5,2011,0
"370",6,2011,0
"371",7,2011,0
"372",8,2011,0
"373",9,2011,0
"374",10,2011,0
"375",11,2011,0
"376",12,2011,0
"377",13,2011,0
"378",14,2011,0
"379",15,2011,0
"380",16,2011,0
"381",17,2011,0
"382",18,2011,0
"383",19,2011,0
"384",20,2011,0
"385",21,2011,0
"386",22,2011,0
"387",23,2011,0
"388",24,2011,0
"389",25,2011,0
"390",26,2011,0
"391",27,2011,0
"392",28,2011,0
"393",29,2011,0
"394",30,2011,0
"395",31,2011,0
"396",32,2011,0
"397",33,2011,0
"398",34,2011,0
"399",35,2011,0
"400",36,2011,0
"401",37,2011,0
"402",38,2011,0
"403",39,2011,0
"404",40,2011,0
"405",41,2011,0
"406",42,2011,0
"407",43,2011,0
"408",44,2011,0
"409",45,2011,0
"410",46,2011,0
"411",47,2011,0
"412",48,2011,0
"413",49,2011,0
"414",50,2011,0
"415",51,2011,0
"416",52,2011,0
"417",1,2012,0
"418",2,2012,0
"419",3,2012,0
"420",4,2012,0
"421",5,2012,0
"422",6,2012,0
"423",7,2012,0
"424",8,2012,0
"425",9,2012,0
"426",10,2012,0
"427",11,2012,0
"428",12,2012,0
"429",13,2012,0
"430",14,2012,0
"431",15,2012,0
"432",16,2012,0
"433",17,2012,0
"434",18,2012,0
"435",19,2012,0
"436",20,2012,0
"437",21,2012,0
"438",22,2012,0
"439",23,2012,0
"440",24,2012,0
"441",25,2012,0
"442",26,2012,0
"443",27,2012,0
"444",28,2012,0
"445",29,2012,0
"446",30,2012,0
"447",31,2012,0
"448",32,2012,0
"449",33,2012,0
"450",34,2012,0
"451",35,2012,0
"452",36,2012,0
"453",37,2012,0
"454",38,2012,0
"455",39,2012,0
"456",40,2012,0
"457",41,2012,0
"458",42,2012,0
"459",43,2012,0
"460",44,2012,0
"461",45,2012,0
"462",46,2012,0
"463",47,2012,0
"464",48,2012,0
"465",49,2012,0
"466",50,2012,0
"467",51,2012,0
"468",52,2012,0
"469",1,2013,0
"470",2,2013,0
"471",3,2013,0
"472",4,2013,0
"473",5,2013,0
"474",6,2013,0
"475",7,2013,0
"476",8,2013,0
"477",9,2013,0
"478",10,2013,0
"479",11,2013,0
"480",12,2013,0
"481",13,2013,0
"482",14,2013,0
"483",15,2013,0
"484",16,2013,0
"485",17,2013,0
"486",18,2013,0
"487",19,2013,0
"488",20,2013,0
"489",21,2013,0
"490",22,2013,0
"491",23,2013,0
"492",24,2013,0
"493",25,2013,0
"494",26,2013,0
"495",27,2013,0
"496",28,2013,0
"497",29,2013,0
"498",30,2013,0
"499",31,2013,0
"500",32,2013,0
"501",33,2013,0
"502",34,2013,0
"503",35,2013,0
"504",36,2013,0
"505",37,2013,0
"506",38,2013,0
"507",39,2013,0
"508",40,2013,0
"509",41,2013,0
"510",42,2013,0
"511",43,2013,0
"512",44,2013,0
"513",45,2013,0
"514",46,2013,0
"515",47,2013,0
"516",48,2013,0
"517",49,2013,0
"518",50,2013,0
"519",51,2013,0
"520",52,2013,0
"521",1,2014,0
"522",2,2014,0
"523",3,2014,0
"524",4,2014,0
"525",5,2014,0
"526",6,2014,0
"527",7,2014,0
"528",8,2014,0
"529",9,2014,0
"530",10,2014,0
"531",11,2014,0
"532",12,2014,0
"533",13,2014,0
"534",14,2014,0
"535",15,2014,0
"536",16,2014,0
"537",17,2014,0
"538",18,2014,0
"539",19,2014,0
"540",20,2014,0
"541",21,2014,0
"542",22,2014,0
"543",23,2014,0
"544",24,2014,0
"545",25,2014,0
"546",26,2014,0
"547",27,2014,0
"548",28,2014,0
"549",29,2014,0
"550",30,2014,0
"551",31,2014,0
"552",32,2014,0
"553",33,2014,0
"554",34,2014,0
"555",35,2014,0
"556",36,2014,0
"557",37,2014,0
"558",38,2014,0
"559",39,2014,0
"560",40,2014,0
"561",41,2014,0
"562",42,2014,0
"563",43,2014,0
"564",44,2014,0
"565",45,2014,0
"566",46,2014,0
"567",47,2014,0
"568",48,2014,0
"569",49,2014,0
"570",50,2014,0
"571",51,2014,0
"572",52,2014,0
"573",1,2015,0
"574",2,2015,0
"575",3,2015,0
"576",4,2015,0
"577",5,2015,0
"578",6,2015,0
"579",7,2015,0
"580",8,2015,0
"581",9,2015,0
"582",10,2015,0
"583",11,2015,0
"584",12,2015,0
"585",13,2015,0
"586",14,2015,0
"587",15,2015,0
"588",16,2015,0
"589",17,2015,0
"590",18,2015,0
"591",19,2015,0
"592",20,2015,0
"593",21,2015,0
"594",22,2015,0
"595",23,2015,0
"596",24,2015,0
"597",25,2015,0
"598",26,2015,0
"599",27,2015,0
"600",28,2015,0
"601",29,2015,0
"602",30,2015,0
"603",31,2015,0
"604",32,2015,0
"605",33,2015,0
"606",34,2015,0
"607",35,2015,0
"608",36,2015,0
"609",37,2015,0
"610",38,2015,0
"611",39,2015,0
"612",40,2015,0
"613",41,2015,0
"614",42,2015,0
"615",43,2015,0
"616",44,2015,0
"617",45,2015,0
"618",46,2015,0
"619",47,2015,0
"620",48,2015,0
"621",49,2015,0
"622",50,2015,0
"623",51,2015,0
"624",52,2015,0
"625",1,2016,0
"626",2,2016,0
"627",3,2016,0
"628",4,2016,0
"629",5,2016,0
"630",6,2016,0
"631",7,2016,0
"632",8,2016,0
"633",9,2016,0
"634",10,2016,0
"635",11,2016,0
"636",12,2016,0
"637",13,2016,0
"638",14,2016,0
"639",15,2016,0
"640",16,2016,0
"641",17,2016,0
"642",18,2016,0
"643",19,2016,0
"644",20,2016,0
"645",21,2016,0
"646",22,2016,0
"647",23,2016,0
"648",24,2016,0
"649",25,2016,0
"650",26,2016,0
"651",27,2016,0
"652",28,2016,0
"653",29,2016,0
"654",30,2016,0
"655",31,2016,0
"656",32,2016,0
"657",33,2016,0
"658",34,2016,0
"659",35,2016,0
"660",36,2016,0
"661",37,2016,0
"662",38,2016,0
"663",39,2016,0
"664",40,2016,0
"665",41,2016,0
"666",42,2016,0
"667",43,2016,0
"668",44,2016,0
"669",45,2016,0
"670",46,2016,0
"671",47,2016,0
"672",48,2016,0
"673",49,2016,0
"674",50,2016,0
"675",51,2016,0
"676",52,2016,0
"677",1,2017,0
"678",2,2017,0
"679",3,2017,0
"680",4,2017,0
"681",5,2017,0
"682",6,2017,0
"683",7,2017,0
"684",8,2017,0
"685",9,2017,0
"686",10,2017,0
"687",11,2017,0
"688",12,2017,0
"689",13,2017,0
"690",14,2017,0
"691",15,2017,0
"692",16,2017,0
"693",17,2017,0
"694",18,2017,0
"695",19,2017,0
"696",20,2017,0
"697",21,2017,0
"698",22,2017,0
"699",23,2017,0
"700",24,2017,0
"701",25,2017,0
"702",26,2017,0
"703",27,2017,0
"704",28,2017,0
"705",29,2017,0
"706",30,2017,0
"707",31,2017,0
"708",32,2017,0
"709",33,2017,0
"710",34,2017,0
"711",35,2017,0
"712",36,2017,0
"713",37,2017,0
"714",38,2017,0
"715",39,2017,0
"716",40,2017,0
"717",41,2017,0
"718",42,2017,0
"719",43,2017,0
"720",44,2017,0
"721",45,2017,0
"722",46,2017,0
"723",47,2017,0
"724",48,2017,0
"725",49,2017,0
"726",50,2017,0
"727",51,2017,0
"728",52,2017,0
"729",1,2018,0
"730",2,2018,0
"731",3,2018,0
"732",4,2018,0
"733",5,2018,0
"734",6,2018,0
"735",7,2018,0
"736",8,2018,0
"737",9,2018,0
"738",10,2018,0
"739",11,2018,0
"740",12,2018,0
"741",13,2018,0
"742",14,2018,0
"743",15,2018,0
"744",16,2018,0
"745",17,2018,0
"746",18,2018,0
"747",19,2018,0
"748",20,2018,0
"749",21,2018,0
"750",22,2018,0
"751",23,2018,0
"752",24,2018,0
"753",25,2018,0
"754",26,2018,0
"755",27,2018,0
"756",28,2018,0
"757",29,2018,0
"758",30,2018,0
"759",31,2018,0
"760",32,2018,0
"761",33,2018,0
"762",34,2018,0
"763",35,2018,0
"764",36,2018,0
"765",37,2018,0
"766",38,2018,0
"767",39,2018,0
"768",40,2018,0
"769",41,2018,0
"770",42,2018,0
"771",43,2018,0
"772",44,2018,0
"773",45,2018,0
"774",46,2018,0
"775",47,2018,0
"776",48,2018,0
"777",49,2018,0
"778",50,2018,0
"779",51,2018,0
"780",52,2018,0
"781",1,2019,0
"782",2,2019,0
"783",3,2019,0
"784",4,2019,0
"785",5,2019,0
"786",6,2019,0
"787",7,2019,0
"788",8,2019,0
"789",9,2019,0
"790",10,2019,0
"791",11,2019,0
"792",12,2019,0
"793",13,2019,0
"794",14,2019,0
"795",15,2019,0
"796",16,2019,0
"797",17,2019,0
"798",18,2019,0
"799",19,2019,0
"800",20,2019,0
"801",21,2019,0
"802",22,2019,0
"803",23,2019,0
"804",24,2019,0
"805",25,2019,0
"806",26,2019,0
"807",27,2019,0
"808",28,2019,0
"809",29,2019,0
"810",30,2019,0
"811",31,2019,0
"812",32,2019,0
"813",33,2019,0
"814",34,2019,0
"815",35,2019,0
"816",36,2019,0
"817",37,2019,0
"818",38,2019,0
"819",39,2019,0
"820",40,2019,0
"821",41,2019,0
"822",42,2019,0
"823",43,2019,0
"824",44,2019,0
"825",45,2019,0
"826",46,2019,0
"827",47,2019,0
"828",48,2019,0
