"","Top 10 Gross","%± LW...2","Overall Gross","%± LW...4","Releases","#1 Release","Genre","Budget","Running Time","Week","Long Weekend","Year"
"58","$77,928,970","-13.4%","$101,223,700","-11.6%",117,"The Butterfly Effect","-","-","-",4,"false",2004
"59","$107,223,556","-4.7%","$138,629,157","-8.4%",117,"Along Came Polly","-","-","-",3,"true",2004
"60","$90,004,004","+8%","$114,544,298","+7.3%",80,"Along Came Polly","-","-","-",3,"false",2004
"61","$83,360,349","-27.5%","$106,710,072","-24.9%",113,"The Lord of the Rings: The Return of the King","-","-","-",2,"false",2004
"62","$114,997,701","-27.9%","$142,178,745","-23.9%",112,"The Lord of the Rings: The Return of the King","-","-","-",1,"false",2004
"63","$159,848,290","-21.7%","$193,881,677","-21.5%",95,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","-","-","-",52,"true",2005
"64","$123,334,934","+30.2%","$149,600,863","+34.5%",89,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","-","-","-",52,"false",2005
"65","$149,695,276","-13.7%","$176,460,617","-10.2%",89,"King Kong","-","-","-",51,"true",2005
"66","$94,745,376","-20.6%","$111,233,550","-13.6%",83,"King Kong","-","-","-",51,"false",2005
"67","$119,305,835","+5%","$128,755,865","+4.2%",115,"King Kong","-","-","-",50,"false",2005
"68","$113,612,356","+54.4%","$123,599,934","+42.1%",129,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","-","-","-",49,"false",2005
"69","$73,570,458","-2.7%","$86,968,500","-0.2%",135,"Harry Potter and the Goblet of Fire","-","-","-",48,"true",2005
"70","$143,088,210","-2.3%","$165,601,846","+2%",130,"Harry Potter and the Goblet of Fire","-","-","-",47,"true",2005
"71","$168,702,261","-5.4%","$186,993,488","-3%",43,"Harry Potter and the Goblet of Fire","-","-","-",47,"true",2005
"72","$200,877,176","-2.3%","$222,928,360","+0.5%",43,"Harry Potter and the Goblet of Fire","-","-","-",47,"true",2005
"73","$168,987,940","+58%","$181,232,917","+43.3%",140,"Harry Potter and the Goblet of Fire","-","-","-",46,"false",2005
"74","$106,966,552","-7.3%","$126,479,572","-6.1%",143,"Chicken Little","-","-","-",45,"false",2005
"75","$115,339,866","+39.7%","$134,640,320","+31.4%",132,"Chicken Little","-","-","-",44,"false",2005
"76","$82,583,718","+25.7%","$102,501,610","+14.7%",142,"Saw II","-","-","-",43,"false",2005
"77","$65,691,999","-0.7%","$89,339,458","+1.4%",141,"Doom","-","-","-",42,"false",2005
"78","$66,154,387","-18.2%","$88,079,308","-16.2%",140,"The Fog","-","-","-",41,"false",2005
"79","$91,725,237","-14%","$113,778,846","-2%",47,"Wallace & Gromit: The Curse of the Were-Rabbit","-","-","-",40,"true",2005
"80","$80,874,687","+13.1%","$105,088,226","+18.4%",143,"Wallace & Gromit: The Curse of the Were-Rabbit","-","-","-",40,"false",2005
"81","$71,498,614","-15.2%","$88,784,004","-11.1%",150,"Flightplan","-","-","-",39,"false",2005
"82","$84,333,686","+27%","$99,849,960","+18.5%",142,"Flightplan","-","-","-",38,"false",2005
"83","$66,381,308","-6%","$84,288,797","-2.5%",140,"Just Like Heaven","-","-","-",37,"false",2005
"84","$70,635,980","-3.1%","$86,410,517","-7%",138,"The Exorcism of Emily Rose","-","-","-",36,"false",2005
"85","$72,867,782","-6.4%","$92,929,769","-4.8%",121,"Transporter 2","-","-","-",35,"false",2005
"86","$91,625,845","+22.1%","$117,734,958","+1%",131,"Transporter 2","-","-","-",35,"true",2005
