"","Week","Year","IT_movies"
"279",19,2009,1
"280",20,2009,1
"281",21,2009,1
"282",22,2009,2
"283",23,2009,0
"284",24,2009,1
"285",25,2009,2
"286",26,2009,0
"287",27,2009,1
"288",28,2009,0
"289",29,2009,0
"290",30,2009,0
"291",31,2009,0
"292",32,2009,0
"293",33,2009,1
"294",34,2009,2
"295",35,2009,3
"296",36,2009,2
"297",37,2009,2
"298",38,2009,2
"299",39,2009,2
"300",40,2009,2
"301",41,2009,2
"302",42,2009,2
"303",43,2009,0
"304",44,2009,1
"305",45,2009,0
"306",46,2009,0
"307",47,2009,1
"308",48,2009,3
"309",49,2009,4
"310",50,2009,0
"311",51,2009,2
"312",52,2009,2
"313",1,2010,0
"314",2,2010,0
"315",3,2010,0
"316",4,2010,0
"317",5,2010,0
"318",6,2010,0
"319",7,2010,0
"320",8,2010,0
"321",9,2010,0
"322",10,2010,3
"323",11,2010,2
"324",12,2010,2
"325",13,2010,2
"326",14,2010,3
"327",15,2010,0
"328",16,2010,1
"329",17,2010,2
"330",18,2010,2
"331",19,2010,0
"332",20,2010,1
"333",21,2010,0
"334",22,2010,1
"335",23,2010,1
"336",24,2010,1
"337",25,2010,0
"338",26,2010,1
"339",27,2010,0
"340",28,2010,1
"341",29,2010,3
"342",30,2010,0
"343",31,2010,1
"344",32,2010,0
"345",33,2010,0
"346",34,2010,1
"347",35,2010,2
"348",36,2010,1
"349",37,2010,1
"350",38,2010,0
"351",39,2010,2
"352",40,2010,2
"353",41,2010,2
"354",42,2010,2
"355",43,2010,2
"356",44,2010,4
"357",45,2010,2
"358",46,2010,2
"359",47,2010,2
"360",48,2010,3
"361",49,2010,0
"362",50,2010,3
"363",51,2010,2
"364",52,2010,1
"365",1,2011,0
"366",2,2011,0
"367",3,2011,0
"368",4,2011,0
"369",5,2011,0
"370",6,2011,0
"371",7,2011,0
"372",8,2011,0
"373",9,2011,0
"374",10,2011,2
"375",11,2011,3
"376",12,2011,2
"377",13,2011,3
"378",14,2011,3
"379",15,2011,4
"380",16,2011,3
"381",17,2011,0
"382",18,2011,2
"383",19,2011,1
"384",20,2011,1
"385",21,2011,0
"386",22,2011,0
"387",23,2011,0
"388",24,2011,1
"389",25,2011,1
"390",26,2011,0
"391",27,2011,0
"392",28,2011,0
"393",29,2011,0
"394",30,2011,0
"395",31,2011,0
"396",32,2011,0
"397",33,2011,1
"398",34,2011,0
"399",35,2011,1
"400",36,2011,1
"401",37,2011,2
"402",38,2011,1
"403",39,2011,2
"404",40,2011,1
"405",41,2011,3
"406",42,2011,4
"407",43,2011,3
"408",44,2011,1
"409",45,2011,2
"410",46,2011,2
"411",47,2011,2
"412",48,2011,3
"413",49,2011,2
"414",50,2011,2
"415",51,2011,2
"416",52,2011,0
"417",1,2012,0
"418",2,2012,0
"419",3,2012,0
"420",4,2012,0
"421",5,2012,0
"422",6,2012,0
"423",7,2012,0
"424",8,2012,0
"425",9,2012,0
"426",10,2012,2
"427",11,2012,3
"428",12,2012,2
"429",13,2012,3
